"gene_id"	"C1A"	"C1B"	"C2A"	"C2B"	"C5A"	"C5B"	"H1A"	"H1B"	"H2A"	"H2B"	"H5A"	"H5B"
"g31505"	0	0	0	0	0	0	0	0	3	0	0	0
"g31506"	6	18	1	6	37	13	14	32	8	11	27	21
"g31507"	63	227	85	55	135	155	94	162	130	69	142	26
"g31508"	118	108	52	41	129	103	68	157	72	34	120	16
"g31509"	0	0	0	5	0	1	0	0	0	0	0	0
"g3151"	54	117	66	47	113	124	43	126	114	29	89	21
"g31510"	41	48	13	12	46	34	14	28	76	8	30	3
"g31511"	0	0	0	0	0	0	1	0	0	0	0	0
"g31512"	11	26	14	8	18	16	2	24	22	11	25	7
"g31513"	30	38	17	11	42	23	22	36	51	14	25	0
"g31514"	0	0	0	0	0	0	0	0	0	0	0	0
"g31515"	71	143	106	33	142	175	85	118	153	75	106	31
"g31516"	108	90	46	50	140	89	56	102	72	27	110	21
"g31517"	78	125	43	44	157	159	50	122	145	42	107	50
"g31518"	51	173	79	77	160	206	108	159	140	28	123	48
"g31519"	0	0	0	0	0	0	0	1	0	0	1	0
"g3152"	1	2	0	0	10	0	0	3	1	0	12	0
"g31520"	292	256	250	177	396	449	182	361	289	116	487	104
"g31521"	117	233	206	128	353	301	136	196	274	80	269	48
"g31522"	6	14	9	11	33	8	3	17	11	3	49	8
"g31523"	1	1	4	3	7	3	4	2	4	0	3	0
"g31524"	32	10	3	2	17	10	5	18	19	9	19	0
"g31525"	21	15	10	7	31	20	15	31	27	7	31	6
"g31526"	242	371	213	230	477	328	227	329	392	134	382	107
"g31527"	10	12	8	6	15	9	7	18	11	3	10	1
"g31528"	40	46	43	27	48	43	26	46	69	45	45	4
"g31529"	14	22	6	8	30	18	13	19	19	9	19	0
"g3153"	14	12	1	3	8	8	2	10	2	9	13	2
"g31530"	0	0	0	0	0	0	0	0	0	0	0	0
"g31531"	13	48	7	4	8	15	0	45	15	1	18	2
"g31532"	1	1	3	0	1	1	0	1	1	5	1	0
"g31533"	90	82	72	44	110	106	50	130	125	52	98	19
"g31534"	41	34	2	13	4	28	34	12	24	7	13	4
"g31535"	146	191	91	47	215	186	80	159	136	95	253	38
"g31536"	56	64	48	14	96	75	34	50	65	13	55	7
"g31537"	70	85	46	38	71	89	40	104	80	21	102	28
"g31538"	17	9	17	11	16	5	5	3	2	1	3	0
"g31539"	0	0	0	0	1	2	0	2	0	0	0	0
"g3154"	74	159	62	105	170	166	69	164	183	62	169	37
"g31540"	36	63	42	20	96	49	27	62	87	14	66	20
"g31541"	7	1	8	6	10	2	17	11	5	5	18	5
"g31542"	0	1	0	0	0	0	0	0	0	0	0	0
"g31543"	4	0	0	0	0	0	0	0	0	0	0	0
"g31544"	0	0	0	0	0	0	0	0	0	0	0	0
"g31545"	4	7	8	4	18	20	14	17	7	3	7	0
"g31546"	0	0	0	0	0	0	0	0	0	0	0	0
"g31547"	0	0	0	0	0	0	0	0	0	0	0	0
"g31548"	1	0	0	0	1	3	0	1	0	0	1	0
"g31549"	8	9	1	9	25	6	0	29	11	1	20	0
"g3155"	0	1	0	0	0	0	1	3	1	0	1	1
"g31550"	15	24	10	15	29	19	14	31	9	2	17	3
"g31551"	569	850	622	511	1048	1311	664	1201	927	404	1229	311
"g31552"	0	0	0	0	0	0	0	0	0	0	1	0
"g31553"	0	0	0	0	0	0	0	4	0	0	0	0
"g31554"	1	0	0	0	0	0	0	0	2	0	0	0
"g31555"	1	2	3	3	5	2	1	1	7	3	4	0
"g31556"	0	2	0	0	0	1	0	1	0	0	0	0
"g31557"	13	13	20	13	25	23	4	6	16	0	32	0
"g31558"	2	2	1	8	4	1	0	3	17	1	5	11
"g31559"	12	34	32	16	31	11	12	30	15	7	9	18
"g3156"	0	0	0	0	0	0	1	0	0	0	0	0
"g31560"	63	109	76	64	113	88	57	109	103	55	79	3
"g31561"	34	31	30	28	92	63	31	22	89	23	56	10
"g31562"	118	161	59	33	150	155	72	128	105	66	215	30
"g31563"	40	57	13	39	56	44	34	66	40	15	48	8
"g31564"	14	24	17	12	21	12	15	16	44	18	16	2
"g31565"	53	64	27	14	44	71	24	73	51	23	68	13
"g31566"	48	22	28	16	25	27	18	31	45	52	45	9
"g31567"	0	0	0	0	1	0	0	0	0	0	0	0
"g31568"	9	23	15	13	26	28	11	31	35	5	28	4
"g31569"	109	217	201	95	255	250	116	237	245	95	247	53
"g3157"	17	12	9	2	20	41	36	29	17	29	53	0
"g31570"	0	0	0	0	2	0	0	0	0	0	0	0
"g31571"	0	0	0	0	0	0	0	0	0	0	5	0
"g31572"	25	26	22	17	35	39	10	26	25	16	25	4
"g31573"	0	0	0	0	0	0	0	1	0	0	0	0
"g31574"	4	5	15	2	3	6	4	4	3	11	1	0
"g31575"	2	4	0	1	5	0	0	3	4	0	7	0
"g31576"	0	0	0	0	0	0	0	0	0	0	0	0
"g31577"	37	23	11	17	29	16	19	26	21	5	29	24
"g31578"	0	0	0	0	0	0	0	0	0	0	0	0
"g31579"	298	474	289	270	556	491	274	478	411	146	463	143
"g3158"	27	60	44	35	71	60	41	68	83	32	95	11
"g31580"	0	0	0	0	0	2	3	0	0	0	0	0
"g31581"	38	44	16	8	57	60	28	50	42	25	54	12
"g31582"	0	0	0	0	0	0	0	0	0	0	0	0
"g31583"	0	0	0	0	3	2	0	0	1	0	0	0
"g31584"	4	24	0	0	1	3	3	3	3	0	1	0
"g31585"	4	36	12	9	38	24	18	49	28	18	40	17
"g31586"	11	6	8	2	15	11	4	16	7	3	23	4
"g31587"	0	0	0	0	0	0	0	0	0	0	0	0
"g31588"	6	4	2	1	11	4	2	7	2	2	3	1
"g31589"	62	73	52	44	116	94	54	96	91	32	75	10
"g3159"	48	18	11	14	23	44	34	31	26	14	49	2
"g31590"	0	0	0	0	0	0	0	0	0	0	1	0
"g31591"	0	2	1	1	0	0	0	0	0	0	7	0
"g31592"	7	3	6	2	21	11	3	36	10	1	7	1
"g31593"	3	5	0	5	18	7	0	5	4	4	22	14
"g31594"	0	1	4	0	0	1	1	1	1	2	1	1
"g31595"	93	116	73	41	109	85	60	114	99	22	92	14
"g31596"	22	3	3	1	0	7	0	3	0	1	2	0
"g31597"	6	0	0	0	0	0	0	0	0	1	0	0
"g31598"	127	137	117	32	197	162	113	197	132	51	185	31
"g31599"	18	8	0	0	0	4	0	5	7	1	0	0
"g316"	4	9	6	5	15	10	3	8	5	1	14	4
"g3160"	45	82	15	21	103	96	64	94	57	25	85	21
"g31600"	14	26	8	13	21	27	14	23	13	11	24	2
"g31601"	48	43	44	21	58	47	34	75	83	19	84	8
"g31602"	0	0	0	0	0	0	0	0	0	0	0	0
"g31603"	0	0	0	0	0	0	0	0	0	0	0	0
"g31604"	4	5	0	0	1	2	1	1	1	0	3	0
"g31605"	0	0	0	6	2	3	0	14	0	1	1	0
"g31606"	43	58	50	61	73	61	44	95	32	17	86	7
"g31607"	0	0	0	0	0	0	0	3	0	0	1	0
"g31608"	0	0	0	0	0	0	0	0	0	0	0	0
"g31609"	7	12	3	6	23	8	14	11	11	7	16	0
"g3161"	124	171	111	70	157	198	96	151	105	46	306	30
"g31610"	8	19	29	11	25	28	4	17	22	4	37	13
"g31611"	2	5	1	0	1	5	1	3	2	2	0	0
"g31612"	41	67	39	37	112	67	41	65	64	12	91	35
"g31613"	0	0	0	0	0	0	0	0	0	0	0	0
"g31614"	0	6	1	0	0	6	1	7	2	2	2	0
"g31615"	45	71	76	53	126	106	60	98	75	49	99	6
"g31616"	0	0	0	0	0	0	0	0	0	0	0	0
"g31617"	32	35	37	17	40	42	27	56	58	36	51	17
"g31618"	0	0	1	0	0	0	0	0	2	0	0	0
"g31619"	721	1062	604	506	1096	1032	535	1192	1066	525	1220	175
"g3162"	30	35	28	18	53	84	24	50	42	9	51	13
"g31620"	0	5	0	5	4	5	6	11	1	0	5	0
